CCMS_PROVIDERFIRM_ID,PROVIDER_FIRM_NAME,CWA_FIRM_CODE,CCMS_USER_ID,USER_LOGIN_ID,EMAIL_ADDRESS,SURNAME_FIRSTNAME
10000,Schaefer & Co,20000,50000,cynthiawardthomas,cynthiawardthomas@schaeferandco.com,"Ward-Thomas, Cynthia"
10000,Schaefer & Co,20000,50001,davidyoungosborn,davidyoungosborn@schaeferandco.com,"Young-Osborn, David"
10000,Schaefer & Co,20000,50002,alexandriamoorehoward,alexandriamoorehoward@schaeferandco.com,"moore-howard, Alexandria"
10000,Schaefer & Co,20000,50003,danielenglish,danielenglish@schaeferandco.com,"English, Daniel"
10000,Schaefer & Co,20000,50004,annatorrestorres@schaeferandco.com,annatorrestorres@schaeferandco.com,"Torres-Torres, Anna"
10001,Pierce Associates,20001,50005,morganhood@pierceassociates.com,morganhood@pierceassociates.com,"hood, Morgan"
10001,Pierce Associates,20001,50006,michaelbrownbell@pierceassociates.com,michaelbrownbell@pierceassociates.com,"brown-bell, Michael"
10001,Pierce Associates,20001,50007,jamesvaldezblanchard@pierceassociates.com,jamesvaldezblanchard@pierceassociates.com,"valdez-blanchard, James"
10001,Pierce Associates,20001,50008,jenniferbass@pierceassociates.com,jenniferbass@pierceassociates.com,"Bass, Jennifer"
10001,Pierce Associates,20001,50009,tanyachasetaylor,tanyachasetaylor@pierceassociates.com,"Chase-Taylor, Tanya"
10001,Pierce Associates,20001,50010,jamierobinsonzamora,jamierobinsonzamora@pierceassociates.com,"Robinson-Zamora, Jamie"
10001,Pierce Associates,20001,50011,robertmendozawatkins@pierceassociates.com,robertmendozawatkins@pierceassociates.com,"Mendoza-Watkins, Robert"
10001,Pierce Associates,20001,50012,michaelcarrkennedy,michaelcarrkennedy@pierceassociates.com,"Carr-Kennedy, Michael"
10001,Pierce Associates,20001,50013,paulrichards,paulrichards@pierceassociates.com,"richards, Paul"
10001,Pierce Associates,20001,50014,robertlynch@pierceassociates.com,robertlynch@pierceassociates.com,"lynch, Robert"
10002,Romero Associates,20002,50015,karendavisburke,karendavisburke@romeroassociates.com,"davis-burke, Karen"
10002,Romero Associates,20002,50016,codytaylorbenson@romeroassociates.com,codytaylorbenson@romeroassociates.com,"Taylor-Benson, Cody"
10002,Romero Associates,20002,50017,maryhayesanderson,maryhayesanderson@romeroassociates.com,"hayes-anderson, Mary"
10002,Romero Associates,20002,50018,crystalriostaylor,crystalriostaylor@romeroassociates.com,"rios-taylor, Crystal"
10002,Romero Associates,20002,50019,michaelallenhenderson@romeroassociates.com,michaelallenhenderson@romeroassociates.com,"Allen-Henderson, Michael"
